Name,Year of release,Original Network,Number of Episodes,Duration,Content Rating,Rating,Genre,Cast,Rank
Weightlifting Fairy Kim Bok Joo,2016,MBC,16,60 min.,15+ - Teens 15 or older,8.8,comedy  romance  youth  sports,"Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young",#31
D.P.,2021,Netflix,6,50 min.,15+ - Teens 15 or older,8.8,action  military  comedy  drama,"Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Seok Koo, Hong Kyung, Jo Hyun Chul",#32
The Devil Judge,2021,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.8,mystery  law  crime  drama,"Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung",#33
The Penthouse,2020,SBS,21,1 hr. 25 min.,15+ - Teens 15 or older,8.8,thriller  mystery  drama  family,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung",#34
Youth of May,2021,KBS2,12,1 hr. 10 min.,15+ - Teens 15 or older,8.8,historical  romance  drama  melodrama,"Lee Do Hyun, Go Min Si, Lee Sang Yi, Geum Sae Rok, Oh Man Suk, Uhm Hyo Sub",#35
Taxi Driver,2021,SBS,16,1 hr. 5 min.,18+ Restricted (violence & profanity),8.8,action  thriller  mystery  drama,"Lee Je Hoon, Esom, Kim Eui Sung, Pyo Ye Jin, Cha Ji Yeon, Jang Hyuk Jin",#36
Life on Mars,2018,OCN,16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,action  mystery  comedy  supernatural,"Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun, Jun Suk Ho",#37
Beyond Evil,2021,jTBC,16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,thriller  mystery  psychological  drama,"Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun, Choi Jin Ho",#38
Racket Boys,2021,"Netflix,  SBS ",16,1 hr. 15 min.,15+ - Teens 15 or older,8.8,friendship  comedy  youth  sports,"Kim Sang Kyung, Oh Na Ra, Tang Jun Sang, Son Sang Yeon, Choi Hyun Wook, Kim Kang Hoon",#39
Hometown Cha-Cha-Cha,2021,"Netflix,  tvN ",16,1 hr. 20 min.,15+ - Teens 15 or older,8.8,comedy  romance  life,"Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Jo Han Chul, Lee Bong Ryun",#40
