Name,Year of release,Original Network,Number of Episodes,Duration,Content Rating,Rating,Genre,Cast,Rank
Voice,2017,OCN,16,60 min.,15+ - Teens 15 or older,8.5,thriller  mystery  psychological,"Jang Hyuk, Lee  Ha Na, Baek Sung Hyun, Ye Sung, Son Eun Seo, Kim Jae Wook",#114
Fight For My Way,2017,KBS2,16,60 min.,15+ - Teens 15 or older,8.5,business  comedy  romance  sports,"Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon, Kim Sung Oh, Jin Hee Kyung",#115
Squid Game,2021,Netflix,9,60 min.,18+ Restricted (violence & profanity),8.5,action  thriller  mystery  drama,"Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Anupam Tripathi, Oh Young Soo",#116
W,2016,MBC,16,60 min.,15+ - Teens 15 or older,8.5,thriller  comedy  romance  fantasy,"Han Hyo Joo, Lee Jong Suk, Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon",#117
Queen Seon Duk,2009,MBC,62,1 hr. 5 min.,15+ - Teens 15 or older,8.5,historical  romance  drama  political,"Lee Yo Won, Go Hyun Jung, Park Ye Jin, Yoo Seung Ho, Kim Nam Gil, Uhm Tae Woong",#118
Mad for Each Other,2021,"Daum Kakao TV, Netflix",13,35 min.,15+ - Teens 15 or older,8.5,comedy  romance  drama,"Oh Yeon Seo, Jung Woo, Lee Su Hyun, Ahn Woo Yeon, Kim Nam Hee, Baek Ji Won",#119
Dali and the Cocky Prince,2021,KBS2,16,1 hr. 5 min.,15+ - Teens 15 or older,8.5,comedy  romance  drama,"Park Gyu Young, Kim Min Jae, Kwon Yool, Hwang Hee, Yeonwoo, Park Sang Myun",#120
Thirty But Seventeen,2018,SBS,32,35 min.,15+ - Teens 15 or older,8.5,music  mystery  comedy  romance,"Shin Hye Sun, Yang Se Jong, Ahn Hyo Seop, Ye Ji Won, Wang Ji Won, Yoon Sun Woo",#121
When the Camellia Blooms,2019,"KBS2,  Netflix ",40,35 min.,15+ - Teens 15 or older,8.5,thriller  comedy  romance  drama  family,"Gong Hyo Jin, Kang Ha Neul, Kim Ji Suk, Son Dam Bi, Oh Jung Se, Yeom Hye Ran",#122
Be Melodramatic,2019,"jTBC, Viki",16,1 hr. 5 min.,15+ - Teens 15 or older,8.5,comedy  romance  life  melodrama,"Chun Woo Hee, Jeon Yeo Been, Han Ji Eun, Ahn Jae Hong, Gong Myung, Lee Joo Bin",#123
Itaewon Class,2020,"jTBC, Netflix",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,business  romance  life  drama,"Park Seo Joon, Kim Da Mi, Kwon Na Ra, Yoo Jae Myung, Ahn Bo Hyun, Kim Dong Hee",#124
Snowdrop,2021,jTBC,16,1 hr. 30 min.,15+ - Teens 15 or older,8.5,romance  drama  melodrama  political,"Jung Hae In, Kim Ji Soo, Jang Seung Jo, Yoo In Na, Yoon Se Ah, Kim Hye Yoon",#125
Circle,2017,tvN,12,1 hr. 5 min.,15+ - Teens 15 or older,8.5,thriller  mystery  sci-fi,"Yeo Jin Goo, Kim Kang Woo, Gong Seung Yeon, Lee Gi Kwang, Ahn Woo Yeon, Seo Hyun Chul",#126
Because This Is My First Life,2017,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,comedy  romance  life  drama,"Jung So Min, Lee Min Ki, Esom, Park Byung Eun, Kim Ga Eun, Kim Min Seok",#127
The Princess's Man,2011,KBS2,24,1 hr. 5 min.,15+ - Teens 15 or older,8.5,action  historical  romance  political,"Park Shi Hoo, Moon Chae Won, Kim Yeong Cheol, Song Jong Ho, Hong Soo Hyun, Lee Min Woo",#128
Blind,2022,"OCN, tvN",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,thriller  mystery  drama,"Ok Taec Yeon, Ha Seok Jin, Jung Eun Ji, Jung In Ki, Jung Eui Wook, Park Ji Bin",#129
Two Weeks,2013,MBC,16,1 hr. 8 min.,15+ - Teens 15 or older,8.5,action  thriller  mystery  drama,"Lee Joon Gi, Park Ha Sun, Ryu Soo Young, Kim So Yeon, Lee Chae Mi, Jo  Min Ki",#130
"Work Later, Drink Now",2021,tvN,12,35 min.,18+ Restricted (violence & profanity),8.5,comedy  life  drama,"Lee Sun Bin, Han Sun Hwa, Jung Eun Ji, Choi Si Won, Kim Jung Min, Yoo Ji Yeon",#131
Dong Yi,2010,MBC,60,1 hr. 5 min.,15+ - Teens 15 or older,8.5,adventure  historical  mystery  romance,"Han Hyo Joo, Ji Jin Hee, Lee So Yeon, Bae Soo Bin, Park Ha Sun, Jung Jin Young",#132
Gaus Electronics,2022,"ENA, Olleh TV",12,50 min.,15+ - Teens 15 or older,8.5,business  comedy  romance  life,"Kwak Dong Yeon, Go Sung Hee, Bae Hyun Sung, Kang  Min Ah, Baek Hyun Jin, Heo Jung Do",#133
Angel's Last Mission: Love,2019,KBS2,32,35 min.,15+ - Teens 15 or older,8.5,comedy  romance  drama  fantasy,"Kim Myung Soo, Shin Hye Sun, Lee Dong Gun, Kim  Bo Mi, Woo Hee Jin, Gil Eun Hye",#134
The World of the Married,2020,jTBC,16,1 hr. 20 min.,18+ Restricted (violence & profanity),8.5,thriller  romance  drama  melodrama,"Kim Hee Ae, Park Hae Joon, Han So Hee, Park Sun Young, Kim Young Min, Chae Gook Hee",#135
All of Us Are Dead,2022,Netflix,12,1 hr. 2 min.,18+ Restricted (violence & profanity),8.5,action  thriller  horror  sci-fi,"Park Ji Hoo, Yoon Chan Young, Jo Yi Hyun, Lomon, Yoo In Soo, Kim Byung Chul",#136
Extracurricular,2020,Netflix,10,55 min.,18+ Restricted (violence & profanity),8.5,psychological  crime  youth  drama,"Kim Dong Hee, Park Ju Hyun, Jung Da Bin, Nam Yoon Su, Choi Min Soo, Park Hyuk Kwon",#137
Yumi's Cells,2021,tvN,14,1 hr. 10 min.,13+ - Teens 13 or older,8.5,psychological  comedy  romance  drama,"Kim Go Eun, Ahn Bo Hyun, Park Ji Hyun, Lee Yoo Bi, Joo Jong Hyuk, Park Jin Young",#138
Lost,2021,"iQiyi, jTBC",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,life  drama  melodrama,"Jeon Do Yeon, Ryu Joon Yeol, Park Byung Eun, Kim Hyo Jin, Park Ji Young, Park In Hwan",#139
Queen In Hyun's Man,2012,tvN,16,45 min.,15+ - Teens 15 or older,8.4,historical  comedy  romance  fantasy,"Ji Hyun Woo, Yoo In Na, Kim Jin Woo, Ga Deuk Hee, Seo Woo Jin, Kim Won Hae",#140
If You Wish Upon Me,2022,"KBS2, ViuTV",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,romance  life  drama  medical,"Ji Chang Wook, Choi Soo Young, Sung Dong Il, Won Ji An, Yang Hee Kyung, Kil Hae Yeon",#142
I'm Not a Robot,2017,MBC,32,35 min.,15+ - Teens 15 or older,8.4,comedy  romance  drama  sci-fi,"Yoo Seung Ho, Chae Soo Bin, Uhm Ki Joon, Park Se Wan, Song Jae Ryong, Go Geon Han",#143
Memorist,2020,tvN,16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,action  thriller  mystery  supernatural,"Yoo Seung Ho, Lee Se Young, Jo Sung Ha, Ko Chang Seok, Yun Ji On, Jeon Hyo Sung",#144
Voice 2,2018,OCN,12,60 min.,15+ - Teens 15 or older,8.4,thriller  mystery  psychological,"Lee  Ha Na, Lee Jin Wook, Kwon Yool, Ahn Se Ha, Son Eun Seo, Kim Woo Seok",#145
Doom at Your Service,2021,"tvN, ViuTV",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,comedy  romance  drama  fantasy,"Park Bo Young, Seo In Guk, Lee Soo Hyuk, Kang Tae Oh, Shin Do Hyun, Dawon",#146
Search: WWW,2019,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,business  comedy  romance  drama,"Im Soo Jung, Lee Da Hee, Jeon Hye Jin, Jang Ki Yong, Lee Jae Wook, Ji Seung Hyun",#148
"From Now On, Showtime!",2022,"MBC, ViuTV",16,1 hr. 13 min.,15+ - Teens 15 or older,8.4,mystery  comedy  romance  fantasy,"Park Hae Jin, Jin Ki Joo, Jung Joon, Go Gyu Pil, Jung Suk Yong, Park Seo Yeon",#149
Hello Monster,2015,KBS2,16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,thriller  mystery  psychological  drama,"Seo In Guk, Jang Na Ra, Park Bo Gum, Choi Won Young, Lee Chun Hee, Min Sung Wook",#150
Moon Embracing the Sun,2012,MBC,20,1 hr. 5 min.,15+ - Teens 15 or older,8.4,historical  romance  supernatural  political,"Han Ga In, Kim Soo Hyun, Jung Il Woo, Kim Min Seo, Kim Yoo Jung, Yeo Jin Goo",#151
Train,2020,OCN,12,60 min.,15+ - Teens 15 or older,8.4,thriller  mystery  sci-fi,"Yoon Shi Yoon, Kyung Soo Jin, Shin So Yool, Lee Hang Na, Nam Moon Chul, Jo Wan Ki",#152
Sh**ting Stars,2022,tvN,16,60 min.,15+ - Teens 15 or older,8.4,comedy  romance  drama,"Lee Sung Kyung, Kim Young Dae, Yoon Jong Hoon, Kim Yoon Hye, Park So Jin, Lee Jung Shin",#153
The Crowned Clown,2019,tvN,16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,historical  romance  melodrama  political,"Yeo Jin Goo, Lee Se Young, Kim Sang Kyung, Jang Gwang, Yoon Jong Seok, Yoon Gyung Ho",#154
Mad Dog,2017,KBS2,16,60 min.,15+ - Teens 15 or older,8.4,action  thriller  mystery,"Yoo Ji Tae, Woo Do Hwan, Ryu Hwa Young, Jo Jae Yoon, Kim Hye Sung, Hong Soo Hyun",#155
Birthcare Center,2020,tvN,8,1 hr. 5 min.,15+ - Teens 15 or older,8.4,comedy  life  drama  melodrama,"Uhm Ji Won, Park Ha Sun, Choi Ri, Jang Hye Jin, Yoon Park, Im Hwa Young",#156
Nine: Nine Times Time Travel,2013,tvN,20,52 min.,15+ - Teens 15 or older,8.4,mystery  romance  supernatural,"Lee Jin Wook, Lee Seung Joon, Jo Yoon Hee, Oh Min Suk, Lee Yi Kyung, Jo Min Ah",#157
Extraordinary You,2019,MBC,32,35 min.,13+ - Teens 13 or older,8.4,comedy  romance  youth  fantasy,"Kim Hye Yoon, Rowoon, Lee Jae Wook, Lee Na Eun, Kim Young Dae, Jung Gun Joo",#158
Pinocchio,2014,SBS,20,58 min.,15+ - Teens 15 or older,8.4,thriller  mystery  comedy  romance,"Lee Jong Suk, Park Shin Hye, Kim Young Kwang, Lee Yoo Bi, Jin Kyung, Lee Pil Mo",#159
Doctor Prisoner,2019,KBS2,32,35 min.,15+ - Teens 15 or older,8.4,thriller  law  crime  medical,"Namkoong Min, Kwon Na Ra, Kim Byung Chul, Choi Won Young, Lee Da In, Jin Hee Kyung",#160
Love All Play,2022,KBS2,16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,romance  drama  sports  melodrama,"Park Ju Hyun, Chae Jong Hyeop, Park Ji Hyun, Kim Moo Joon, Seo Ji Hye, Jo Han Chul",#161
My Unfamiliar Family,2020,tvN,16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,life  drama,"Han Ye Ri, Kim Ji Suk, Choo Ja Hyun, Jung Jin Young, Won Mi Kyung, Shin Jae Ha",#162
Her Private Life,2019,tvN,16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,business  comedy  romance  drama,"Park Min Young, Kim Jae Wook, Ahn Bo Hyun, One, Kim Bo Ra, Park Jin Joo",#163
Age of Youth 2,2017,jTBC,14,60 min.,15+ - Teens 15 or older,8.4,mystery  comedy  romance  life,"Han Ye Ri, Han Seung Yeon, Park Eun Bin, Ji Woo, Choi A Ra, Kim Min Seok",#164
Secret,2013,KBS2,16,1 hr. 2 min.,15+ - Teens 15 or older,8.4,romance  drama  melodrama,"Ji Sung, Hwang Jung Eum, Bae Soo Bin, Lee Da Hee, Lee Deok Hwa, Jo Mi Ryung",#165
Military Prosecutor Doberman,2022,tvN,16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,action  military  mystery  law,"Ahn Bo Hyun, Jo Bo Ah, Oh Yeon Soo, Kim Young Min, Kim Woo Seok, Kang Mal Geum",#166
Pachinko,2022,Apple TV+,8,54 min.,15+ - Teens 15 or older,8.4,historical  romance  drama  melodrama,"Kim Min Ha, Youn Yuh Jung, Jin Ha, Lee Min Ho, Jeon Yu Na, Park So Hee",#167
My Roommate Is a Gumiho,2021,"iQiyi, tvN",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,comedy  romance  fantasy,"Jang Ki Yong, Lee Hye Ri, Kang Han Na, Kim Do Wan, Bae In Hyuk, Park Kyung Hye",#168
Yumi's Cells 2,2022,tvN,14,1 hr. 5 min.,15+ - Teens 15 or older,8.4,comedy  romance  life,"Kim Go Eun, Park Jin Young, Ahn Bo Hyun, Lee Yoo Bi, Mi Ram, Kwon Seung Woo",#169
My Country: The New Age,2019,"jTBC, Netflix",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,action  historical  romance  drama,"Yang Se Jong, Woo Do Hwan, Kim Seol Hyun, Jang Hyuk, Kim Yeong Cheol, Ahn Nae Sang",#170
Sell Your Haunted House,2021,KBS2,16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,thriller  mystery  comedy  fantasy,"Jang Na Ra, Jung Yong Hwa, Kang Hong Suk, Kang Mal Geum, Baek Eun Hye, Ahn Kil Kang",#171
The Legend of the Blue Sea,2016,SBS,20,60 min.,15+ - Teens 15 or older,8.4,comedy  romance  drama  fantasy,"Lee Min Ho, Jun Ji Hyun, Lee Hee Joon, Shin  Won Ho, Shin Hye Sun, Moon So Ri",#173
Come and Hug Me,2018,MBC,32,35 min.,15+ - Teens 15 or older,8.4,thriller  mystery  romance  melodrama,"Jang Ki Yong, Jin Ki Joo, Heo Joon Ho, Yoon Jong Hoon, Kim Kyung Nam, Seo Jung Yeon",#174
Partners for Justice,2018,MBC,32,35 min.,15+ - Teens 15 or older,8.4,thriller  mystery  law  medical,"Jung Jae Young, Jung Yoo Mi, Lee Yi Kyung, Park Eun Seok, Stephanie Lee, Joo Jin Mo",#175
Seasons of Blossom,2022,Wavve,16,25 min.,13+ - Teens 13 or older,8.4,comedy  romance  youth  drama,"Seo Ji Hoon, So Ju Yeon, Kim Min Kyu, Kang Hye Won, Yoon Hyun Soo, Oh Yu Jin",#176
The Tale of Nokdu,2019,KBS2,32,33 min.,15+ - Teens 15 or older,8.4,action  historical  comedy  romance,"Jang Dong Yoon, Kim So Hyun, Kang Tae Oh, Jung Joon Ho, Kim Tae Woo, Yoon Yoo Sun",#177
Psychopath Diary,2019,tvN,16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,thriller  mystery  comedy  crime,"Yoon Shi Yoon, Jung In Sun, Park Sung Hoon, Lee  Han Wi, Hwang Geum Byul, Kim Kyul",#178
The Beauty Inside,2018,jTBC,16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,comedy  romance  melodrama  supernatural,"Seo Hyun Jin, Lee Min Ki, Lee Da Hee, Ahn Jae Hyun, Lee Tae Ri, Moon Ji In",#179
Tale of the Nine-Tailed,2020,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,thriller  horror  romance  fantasy,"Lee Dong Wook, Jo Bo Ah, Kim Bum, Kim Yong Ji, Hwang Hee, Kim Jung Nan",#180
The Good Detective,2020,jTBC,16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,action  thriller  mystery  drama,"Son Hyun Joo, Jang Seung Jo, Lee Elijah, Oh Jung Se, Ji Seung Hyun, Son Jong Hak",#181
He Is Psychometric,2019,tvN,16,1 hr. 4 min.,15+ - Teens 15 or older,8.4,thriller  mystery  romance  supernatural,"Park Jin Young, Shin Ye Eun, Kim Kwon, Kim Da Som, Noh Jong Hyun, Go Yoon Jung",#182
One Spring Night,2019,"MBC, Netflix",32,35 min.,15+ - Teens 15 or older,8.4,romance  life  drama  melodrama,"Jung Hae In, Han Ji Min, Kim Joon Han, Im Sung Eon, Joo Min Kyung, Song Seung Hwan",#183
Soundtrack #1,2022,Disney+,4,44 min.,13+ - Teens 13 or older,8.4,music  romance,"Park Hyung Sik, Han So Hee, Kim Joo Heon, Yoon Byung Hee, Park Min Jung, Park Hoon",#184
City Hunter,2011,SBS,20,1 hr. 10 min.,15+ - Teens 15 or older,8.4,action  thriller  crime,"Lee Min Ho, Park Min Young, Lee Joon Hyuk, Kim Sang Joong, Hwang Sun Hee, Kim Mi Sook",#185
Class of Lies,2019,OCN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,thriller  mystery  law  youth,"Yoon Kyun Sang, Geum Sae Rok, Lee Jun Young, Choi Yoo Hwa, Choi Kyu Jin, Han So Eun",#186
100 Days My Prince,2018,tvN,16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,historical  comedy  romance  drama,"Doh Kyung Soo, Nam Ji Hyun, Kim Seon Ho, Han So Hee, Jo Sung Ha, Kim Jae Young",#187
"At a Distance, Spring Is Green",2021,"iQiyi, KBS2, Viki",12, 1 hr. 3 min.,15+ - Teens 15 or older,8.3,romance  life  youth,"Park Ji Hoon, Kang  Min Ah, Bae In Hyuk, Kwon Eun Bin, Choi Jung Woo, Woo Da Vi",#188
Lie After Lie,2020,Channel A,16,1 hr. 9 min.,15+ - Teens 15 or older,8.3,thriller  romance  melodrama,"Lee Yoo Ri, Yeon Jung Hoon, Lee Il Hwa, Im Ju Eun, Go Na Hee, Kwon Hwa Woon",#189
The Sound of Magic,2022,Netflix,6,1 hr. 10 min.,15+ - Teens 15 or older,8.3,music  psychological  drama  fantasy,"Ji Chang Wook, Choi Sung Eun, Hwang In Youp, Oh So Hyun, Ji Hye Won, Hong Jung Min",#190
Good Doctor,2013,KBS2,20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,romance  life  drama  medical,"Joo Won, Moon Chae Won, Joo Sang Wook, Kim Min Seo, Ha Kyu Won, Kim Hyun Soo",#192
Rookie Cops,2022,Hulu,16,60 min.,15+ - Teens 15 or older,8.3,romance  life  youth  drama,"Kang Daniel, Chae Soo Bin, Lee Shin Young, Park Yoo Na, Park Sung Joon, Min Do Hee",#194
True Beauty,2020,tvN,16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,comedy  romance  youth  drama,"Moon Ga Young, Cha Eun Woo, Hwang In Youp, Park Yoo Na, Jang Hye Jin, Park Ho San",#195
Oh My Ghost,2015,tvN,16,60 min.,13+ - Teens 13 or older,8.3,thriller  comedy  romance  supernatural,"Park Bo Young, Kim Seul Gi, Jo Jung Suk, Im Joo Hwan, Kang Ki Young, Kwak Shi Yang",#196
God's Gift: 14 Days,2014,SBS,16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,thriller  mystery  drama  supernatural,"Lee Bo Young, Cho Seung Woo, Kim Tae Woo, Kim Yoo Bin, Jung Gyu Woon, Kim Jin Hee",#197
The Sound of Your Heart,2016,Naver TV Cast,20,15 min.,15+ - Teens 15 or older,8.3,comedy  life  sitcom,"Lee Kwang Soo, Kim Dae Myung, Jung So Min, Kim Byung Ok, Kim  Mi Kyung, Park Sang Hoon",#198
The Veil,2021,MBC,12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,action  thriller  mystery  crime,"Namkoong Min, Park Ha Sun, Kim Ji Eun, Jang Young Nam, Kim Jong Tae, Kim Do Hyun",#199
Graceful Family,2019,MBN,16,1 hr. 20 min.,15+ - Teens 15 or older,8.3,thriller  mystery  drama  melodrama,"Im Soo Hyang, Lee Jang Woo, Bae Jong Ok, Lee Kyu Han, Kim Jin Woo, Jeon Jin Seo",#200
Gu Family Book,2013,MBC,24,1 hr. 5 min.,15+ - Teens 15 or older,8.3,action  historical  romance  fantasy,"Lee Seung Gi, Bae Suzy, Lee Sung Jae, Yoo Yeon Seok, Lee Yoo Bi, Sung Joon",#201
The Hymn of Death,2018,"Netflix, SBS",6,35 min.,15+ - Teens 15 or older,8.3,music  historical  romance  melodrama,"Lee Jong Suk, Shin Hye Sun, Park Seon Im, Lee Ji Hoon, Han Eun Seo, Kim Kang Hyun",#202
Jumong,2006,MBC,81,1 hr. 10 min.,15+ - Teens 15 or older,8.3,adventure  historical  romance  drama,"Song Il Gook, Han Hye Jin, Kim Seung Soo, Jeon Kwang Ryul, Oh Yeon Soo, Song Ji Hyo",#203
Vampire Prosecutor 2,2012,OCN,11,1 hr. 5 min.,15+ - Teens 15 or older,8.3,action  mystery  drama  supernatural,"Yeon Jung Hoon, Lee Young Ah, Lee Won Jong, Lee Kyung Young, Kim Joo Young, Gong Jung Hwan",#204
Ugly Alert,2013,SBS,133,35 min.,15+ - Teens 15 or older,8.3,business  romance  melodrama,"Im Joo Hwan, Kang So Ra, Kang  Byul, Choi  Tae Joon, Kim Seol Hyun, Shin So Yool",#205
Misty,2018,jTBC,16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,thriller  mystery  romance  melodrama,"Kim Nam Joo, Ji Jin Hee, Jeon Hye Jin, Im Tae Kyung, Go Jun, Jin Ki Joo",#206
Voice 3: City of Accomplices,2019,OCN,16,60 min.,15+ - Teens 15 or older,8.3,thriller  mystery  psychological  crime,"Lee  Ha Na, Lee Jin Wook, Son Eun Seo, Kim Woo Seok, Kim Joong Ki, Song Boo Geon",#207
Confession,2019,tvN,16,60 min.,15+ - Teens 15 or older,8.3,thriller  mystery  law  drama,"Lee Jun Ho, Shin Hyun Bin, Yoo Jae Myung, Nam Ki Ae, Yoon Gyung Ho, Ryu Kyung Soo",#208
Again My Life,2022,"SBS, ViuTV",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,mystery  law  drama  fantasy,"Lee Joon Gi, Lee Kyung Young, Kim Ji Eun, Jung Sang Hoon, Choi Kwang, Hong Bi Ra",#209
Money Heist: Korea - Joint Economic Area - Part 1,2022,Netflix,6,1 hr. 10 min.,18+ Restricted (violence & profanity),8.3,action  thriller  mystery  crime,"Yoo Ji Tae, Park Hae Soo, Jeon Jong Seo, Lee Won Jong, Kim Ji Hoon, Jang Yoon Ju",#210
Are You Human Too?,2018,KBS2,36,35 min.,15+ - Teens 15 or older,8.3,comedy  romance  sci-fi  fantasy,"Seo Kang Joon, Gong Seung Yeon, Lee Joon Hyuk, Park Hwan Hee, Kim Sung Ryung, Yoo Oh Sung",#211
Run On,2020,"jTBC, Netflix",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,romance  life  drama  sports,"Yim Si Wan, Shin Se Kyung, Choi Soo Young, Kang Tae Oh, Park Young Gyu, Cha Hwa Yun",#212
The Smile Has Left Your Eyes,2018,tvN,16,1 hr. 4 min.,15+ - Teens 15 or older,8.3,thriller  mystery  romance  drama,"Seo In Guk, Jung So Min, Park Sung Woong, Seo Eun Soo, Go Min Si, Jang Young Nam",#213
Team Bulldog: Off-duty Investigation,2020,OCN,12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,action  mystery  comedy  drama,"Cha Tae Hyun, Lee Sun Bin, Jung Sang Hoon, Yoon Gyung Ho, Ji Seung Hyun, Im Chul Hyung",#214
The Guardians,2017,MBC,32,35 min.,15+ - Teens 15 or older,8.3,action  thriller  mystery  law  crime,"Lee Si Young, Kim Young Kwang, Kim Tae Hoon, Kim Seul Gi, Key, Choi Moo Sung",#215
Terius Behind Me,2018,MBC,32,35 min.,15+ - Teens 15 or older,8.3,action  mystery  comedy  romance,"So Ji Sub, Jung In Sun, Son Ho Jun, Im Se Mi, Kim Gun Woo, Ok Ye Rin",#216
Hyena,2020,"Netflix, SBS",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,mystery  comedy  law  romance,"Joo Ji Hoon, Kim Hye Soo, Lee Kyung Young, Kim Ho Jung, Song Young Kyu, Jun Suk Ho",#217
Touch Your Heart,2019,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,comedy  law  romance  drama,"Lee Dong Wook, Yoo In Na, Lee Sang Woo, Son Sung Yoon, Oh Jung Se, Shim Hyung Tak",#218
Welcome 2 Life,2019,MBC,32,35 min.,15+ - Teens 15 or older,8.3,comedy  law  romance  fantasy,"Rain, Im Ji Yeon, Kwak Shi Yang, Seo Hye Rin, Park Yoon Young, Son Byung Ho",#220
Suspicious Partner,2017,SBS,40,30 min.,15+ - Teens 15 or older,8.3,thriller  comedy  law  romance,"Ji Chang Wook, Nam Ji Hyun, Choi  Tae Joon, Kwon Na Ra, Dong Ha, Kim Ye Won",#221
Mine,2021,"Netflix, tvN",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,thriller  mystery  drama,"Lee Bo Young, Kim Seo Hyung, Ok Ja Yeon, Lee Hyun Wook, Cha Hak Yeon, Jung Yi Seo",#222
When the Weather Is Fine,2020,"jTBC, Viki",16,60 min.,15+ - Teens 15 or older,8.3,romance  life  drama  melodrama,"Park Min Young, Seo Kang Joon, Lee Jae Wook, Kim Hwan Hee, Moon Jung Hee, Im Se Mi",#223
Lawless Lawyer,2018,tvN,16,1 hr. 6 min.,15+ - Teens 15 or older,8.3,action  thriller  law  romance,"Lee Joon Gi, Seo Yea Ji, Lee Hye Young, Choi Min Soo, Lee Ro Woon, Lee Dae Yeon",#224
Crazy Love,2022,KBS2,16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,comedy  romance  drama,"Kim Jae Wook, Krystal Jung, Ha Joon, Yoo In Young, Im Won Hee, Park Han Sol",#225
WATCHER,2019,OCN,16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,thriller  mystery  drama  political,"Seo Kang Joon, Han Seok Kyu, Kim Hyun Joo, Park Joo Hee, Heo Sung Tae, Joo Jin Mo",#226
Five Enough,2016,KBS2,54,1 hr. 10 min.,15+ - Teens 15 or older,8.3,comedy  romance  drama  melodrama,"Ahn Jae Wook, So Yoo Jin, Sung Hoon, Shin Hye Sun, Shim Hyung Tak, Shim Yi Young",#227
Amanza,2020,Daum Kakao TV,10,15 min.,15+ - Teens 15 or older,8.3,adventure  life  fantasy  melodrama,"Kim Ji Soo, Lee Seol, Oh Hyun Kyung, Yoo Seung Mok, Lee Jong Won, Shin Joo Hwan",#228
Light on Me,2021,Viki,16,24 min.,13+ - Teens 13 or older,8.3,romance  youth  drama,"Lee Sae On, Kang Yoo Seok, Choe Chan Yi, Go Woo Jin, Lee Ki Hyun, Yang Seo Hyun",#229
Bulgasal: Immortal Souls,2021,"Netflix, tvN",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,thriller  mystery  drama  fantasy,"Lee Jin Wook, Kwon Na Ra, Lee Joon, Gong Seung Yeon, Jung Jin Young, Kim Woo Seok",#230
Tree With Deep Roots,2011,SBS,24,1 hr. 9 min.,15+ - Teens 15 or older,8.3,historical  mystery  political,"Han Seok Kyu, Jang Hyuk, Shin Se Kyung, Jo Jin Woong, Park Hyuk Kwon, Hyun Woo",#232
49 Days,2011,SBS,20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,romance  drama  melodrama  supernatural,"Lee Yo Won, Nam Gyu Ri, Jung Il Woo, Jo Hyun Jae, Bae Soo Bin, Seo Ji Hye",#233
D-Day,2015,jTBC,20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,romance  drama  medical,"Kim Young Kwang, Jung So Min, Ha Seok Jin, Lee Kyung Young, Kim Hye Eun, Yoon Joo Hee",#234
Awaken,2020,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,thriller  mystery  crime  fantasy,"Namkoong Min, Kim Seol Hyun, Lee Chung Ah, Yoon Sun Woo, Yoon Gyung Ho, Kim Tae Woo",#235
Oh My Venus,2015,KBS2,16,60 min.,13+ - Teens 13 or older,8.3,comedy  law  romance  life,"So Ji Sub, Shin Min Ah, Jung Gyu Woon, Yoo In Young, Sung Hoon, Henry Lau",#236
